"","X.1","X","customer.id","Name.x","default","Personal.status","Present.residence.since","Present.employment.since","Job","age","Housing","Telephone","foreign.worker","Account.Status","Duration.in.Month","Savings.account.bonds","Property","Credit.history","Purpose","Credit.amount","Installment.rate","guarantors","Other.installment.plans","Number.of.existing.credits","liable.to.provide.maintenance"
"498",498,498,"JC-610575","Julie Creighton",2,"female : divorced/separated",4,1,"skilled employee ",27,"rent","none","yes",190,12,250,"car or other","existing credits paid back duly till now","furniture/equipment",951,4,"none","Bank",4,1
"499",499,499,"JD-1579059","John Dryer",2,"male   : single",4,4,"skilled employee ",54,"own","none","yes",0,48,90,"car or other","existing credits paid back duly till now","domestic appliances",3051,3,"none","none",1,1
"500",500,500,"JD-1601551","Joy Daniels",1,"male   : married/widowed",4,7,"unskilled ",23,"rent","none","yes",0,18,90,"car or other","existing credits paid back duly till now","radio/television",1936,2,"none","none",2,1
"501",501,501,"JD-16060120","Julia Dunbar",2,"female : divorced/separated",2,10,"skilled employee ",29,"own","none","yes",0,24,90,"car or other","existing credits paid back duly till now"," New Car",915,4,"none","Bank",1,1
"502",502,502,"JD-16150139","Justin Deggeller",1,"male   : married/widowed",4,3,"unskilled ",22,"rent","none","yes",50,9,80,"real estate","existing credits paid back duly till now"," New Car",276,4,"none","none",1,1
"503",503,503,"JD-161507","Justin Deggeller",1,"male   : single",4,10,"skilled employee ",30,"for free","none","yes",10,24,490,"","existing credits paid back duly till now","furniture/equipment",3069,4,"none","none",1,1
"504",504,504,"JD-606049","Julia Dunbar",1,"male   : single",4,3,"skilled employee ",43,"own","yes","yes",10,18,80,"real estate","existing credits paid back duly till now","furniture/equipment",2515,3,"none","none",1,1
"505",505,505,"JE-1547566","Jeremy Ellison",1,"male   : single",2,4,"unskilled ",40,"own","none","yes",0,11,90,"real estate","critical account"," New Car",3939,1,"none","none",2,2
"506",506,506,"JE-1561058","Jim Epp",1,"female : divorced/separated",3,5,"skilled employee ",20,"rent","none","yes",10,15,1500,"car or other","existing credits paid back duly till now"," New Car",3186,2,"none","none",1,1
"507",507,507,"JE-1574531","Joel Eaton",1,"male   : single",2,4,"unskilled ",35,"own","yes","yes",10,18,2500,"life insurance","existing credits paid back duly till now","business",1941,4,"none","none",1,1
"508",508,508,"JE-1616559","Justin Ellison",1,"male   : single",4,10,"skilled employee ",49,"own","yes","yes",10,12,90,"real estate","critical account","radio/television",2331,1,"co-applicant","none",1,1
"509",509,509,"JE-616574","Justin Ellison",1,"female : divorced/separated",3,4,"unskilled ",57,"own","none","yes",500,24,900,"car or other","existing credits paid back duly till now","radio/television",1258,3,"none","none",1,1
"510",510,510,"JF-1519021","Jamie Frazer",1,"male   : single",4,4,"management",36,"rent","yes","yes",190,24,150,"car or other","delay in paying off in the past","business",6967,4,"none","none",1,1
"511",511,511,"JF-15295120","Jason Fortune-",1,"male   : single",2,4,"skilled employee ",30,"own","none","yes",190,48,150,"car or other","all credits at this bank paid back duly","business",3566,4,"none","none",1,1
"512",512,512,"JF-15295139","Jason Fortune-",1,"female : divorced/separated",4,4,"skilled employee ",34,"own","none","yes",10,36,90,"real estate","delay in paying off in the past","radio/television",4454,4,"none","none",2,1
"513",513,513,"JF-1529531","Jason Fortune-",2,"male   : married/widowed",2,5,"skilled employee ",28,"own","yes","yes",250,12,700,"real estate","critical account"," New Car",939,4,"none","none",3,1
"514",514,514,"JF-15415139","Jennifer Ferguson",1,"male   : single",4,10,"skilled employee ",45,"for free","none","yes",10,15,90,"","existing credits paid back duly till now","Used Car",1300,4,"none","Bank",1,2
"515",515,515,"JF-1541527","Jennifer Ferguson",1,"female : divorced/separated",4,1,"unskilled ",22,"rent","none","yes",10,12,90,"life insurance","critical account","furniture/equipment",1258,2,"none","none",2,1
"516",516,516,"JF-541549","Jennifer Ferguson",1,"male   : single",1,10,"management",36,"own","yes","yes",10,24,90,"real estate","existing credits paid back duly till now","radio/television",1278,4,"none","none",1,1
"517",517,517,"JF-541586","Jennifer Ferguson",1,"female : divorced/separated",3,0,"management",75,"own","yes","yes",0,6,90,"life insurance","existing credits paid back duly till now"," New Car",1374,4,"none","none",1,1
"518",518,518,"JG-15160139","James Galang",1,"male   : single",4,9,"skilled employee ",48,"own","none","no",0,9,150,"real estate","critical account","repairs",1288,3,"guarantor","none",2,2
"519",519,519,"JG-1580527","John Grady",1,"female : divorced/separated",4,7,"unskilled ",33,"rent","none","yes",10,15,90,"real estate","existing credits paid back duly till now","furniture/equipment",2186,1,"none","Bank",1,1
"520",520,520,"JH-1543082","Jennifer Halladay",2,"male   : single",2,4,"skilled employee ",23,"own","yes","yes",10,48,90,"car or other","existing credits paid back duly till now","business",15672,2,"none","none",1,1
"521",521,521,"JH-15820141","John Huston",1,"male   : single",4,2,"unskilled ",44,"own","yes","yes",100,18,50,"real estate","delay in paying off in the past","repairs",6204,2,"none","none",1,2
"522",522,522,"JH-1582045","John Huston",1,"male   : single",2,0,"management",29,"for free","yes","yes",0,24,90,"","existing credits paid back duly till now","Used Car",6579,4,"none","none",1,1
"523",523,523,"JH-1582048","John Huston",1,"male   : single",2,0,"management",34,"own","yes","yes",190,12,80,"car or other","critical account","Used Car",1860,4,"none","none",2,1
"524",524,524,"JH-158207","John Huston",2,"male   : single",4,8,"management",61,"for free","yes","yes",150,36,70,"","all credits paid back duly","business",1953,4,"none","none",1,1
"525",525,525,"JH-1591066","Jonathan Howell",2,"male   : single",2,6,"skilled employee ",26,"own","none","yes",0,12,90,"real estate","existing credits paid back duly till now"," New Car",759,4,"none","none",1,1
"526",526,526,"JH-161805","Justin Hirsh",2,"male   : divorced/separated",3,9,"management",40,"own","yes","yes",190,18,80,"","delay in paying off in the past","furniture/equipment",4297,4,"none","none",1,1
"527",527,527,"JH-1618059","Justin Hirsh",1,"male   : single",3,10,"skilled employee ",32,"own","none","yes",10,48,90,"car or other","delay in paying off in the past","radio/television",7238,3,"none","Bank",2,2
"528",528,528,"JH-5910117","Jonathan Howell",1,"male   : divorced/separated",4,4,"management",40,"own","yes","yes",0,30,90,"life insurance","existing credits paid back duly till now","Used Car",3857,4,"none","none",1,1
"529",529,529,"JK-1532527","Jason Klamczynski",2,"female : divorced/separated",2,8,"management",44,"for free","yes","yes",100,24,50,"","existing credits paid back duly till now","Used Car",12579,4,"none","none",1,1
"530",530,530,"JK-1532545","Jason Klamczynski",1,"male   : married/widowed",3,1,"unskilled ",27,"own","none","yes",10,24,90,"car or other","existing credits paid back duly till now","retraining",937,4,"none","none",2,1
"531",531,531,"JK-153257","Jason Klamczynski",1,"male   : single",3,4,"skilled employee ",35,"rent","yes","yes",190,9,80,"car or other","critical account","furniture/equipment",1919,4,"none","none",1,1
"532",532,532,"JK-1532582","Jason Klamczynski",1,"male   : single",4,10,"skilled employee ",42,"own","yes","yes",10,12,900,"life insurance","critical account","radio/television",522,4,"none","none",2,2
"533",533,533,"JK-15370100","Jay Kimmel",2,"female : divorced/separated",1,0,"unemployed",27,"own","none","yes",0,18,90,"real estate","existing credits paid back duly till now","education",750,4,"none","none",1,1
"534",534,534,"JK-1562539","Jim Karlsson",1,"male   : single",4,10,"unskilled ",47,"own","none","yes",0,8,90,"real estate","critical account"," New Car",731,4,"none","none",2,1
"535",535,535,"JK-1573064","Joe Kamberova",1,"female : divorced/separated",4,7,"skilled employee ",40,"own","yes","yes",10,36,900,"car or other","delay in paying off in the past","furniture/equipment",7678,2,"none","none",2,1
"536",536,536,"JK-1609058","Juliana Krohn",1,"male   : single",3,5,"unskilled ",47,"own","none","yes",50,12,80,"real estate","critical account"," New Car",958,2,"none","none",2,2
"537",537,537,"JK-1612059","Julie Kriz",1,"male   : divorced/separated",2,9,"skilled employee ",31,"own","none","yes",190,6,150,"car or other","delay in paying off in the past","business",1449,1,"none","Bank",2,2
"538",538,538,"JK-5730108","Joe Kamberova",1,"male   : single",2,6,"skilled employee ",25,"own","none","yes",250,24,90,"car or other","existing credits paid back duly till now","radio/television",5152,4,"none","Bank",1,1
"539",539,539,"JL-1517518","James Lanier",1,"male   : single",4,9,"management",38,"for free","yes","yes",0,30,80,"","critical account","Used Car",10623,3,"none","none",3,2
"540",540,540,"JL-1517559","James Lanier",2,"female : divorced/separated",1,1,"unemployed",26,"rent","none","yes",10,15,90,"real estate","all credits paid back duly"," New Car",1778,2,"none","none",2,1
"541",541,541,"JL-1523536","Janet Lee",1,"female : divorced/separated",1,4,"skilled employee ",27,"own","none","yes",10,48,90,"real estate","all credits at this bank paid back duly","business",3609,1,"none","stores",1,1
"542",542,542,"JL-1583527","John Lee",2,"male   : divorced/separated",2,3,"management",30,"own","yes","yes",190,36,80,"real estate","delay in paying off in the past","business",4455,2,"none","stores",2,1
"543",543,543,"JL-1585048","John Lucas",2,"male   : single",4,7,"skilled employee ",46,"for free","none","yes",0,48,90,"","existing credits paid back duly till now"," New Car",3931,4,"none","none",1,2
"544",544,544,"JL-5130108","Jack Lebron",1,"male   : single",1,1,"skilled employee ",26,"own","none","yes",250,12,80,"real estate","existing credits paid back duly till now"," New Car",1330,4,"none","none",1,1
"545",545,545,"JL-58359","John Lee",1,"male   : married/widowed",2,4,"skilled employee ",29,"rent","none","yes",10,6,80,"real estate","existing credits paid back duly till now","radio/television",2108,2,"none","none",1,1
"546",546,546,"JM-1525027","Janet Martin",1,"male   : single",4,8,"management",66,"for free","none","yes",0,12,70,"","critical account","Used Car",1526,4,"none","none",2,1
"547",547,547,"JM-1525045","Janet Martin",1,"female : divorced/separated",1,1,"skilled employee ",45,"own","none","yes",50,7,90,"real estate","existing credits paid back duly till now","radio/television",2329,1,"guarantor","none",1,1
"548",548,548,"JM-15265102","Janet Molinari",1,"male   : single",2,3,"skilled employee ",31,"own","none","yes",10,15,80,"life insurance","critical account","radio/television",1360,4,"none","none",2,1
"549",549,549,"JM-1558082","Jill Matthias",2,"male   : single",2,3,"skilled employee ",22,"own","none","yes",0,18,80,"car or other","existing credits paid back duly till now","furniture/equipment",2462,2,"none","none",1,1
"550",550,550,"JM-156557","Jim Mitchum",1,"male   : single",4,2,"unskilled ",35,"for free","yes","yes",10,36,0,"","existing credits paid back duly till now","education",9055,2,"none","none",1,2
"551",551,551,"JM-1586582","John Murray",2,"male   : single",1,1,"unskilled ",33,"own","none","yes",0,12,80,"real estate","existing credits paid back duly till now"," New Car",2579,4,"none","none",1,2
"552",552,552,"JM-1586597","John Murray",1,"male   : single",4,5,"unskilled ",74,"own","none","yes",10,5,80,"real estate","existing credits paid back duly till now","business",3448,1,"none","none",1,1
"553",553,553,"JM-161957","Justin MacKendrick",1,"male   : single",3,7,"management",38,"own","yes","yes",10,24,90,"car or other","existing credits paid back duly till now","Used Car",7814,3,"none","none",1,1
"554",554,554,"JM-558069","Jill Matthias",2,"female : divorced/separated",4,1,"skilled employee ",22,"rent","none","yes",0,9,90,"life insurance","existing credits paid back duly till now","radio/television",1366,3,"none","none",1,1
"555",555,555,"JO-1528058","Jas O'Carroll",2,"male   : divorced/separated",1,1,"skilled employee ",55,"own","yes","yes",0,24,90,"life insurance","all credits at this bank paid back duly","furniture/equipment",6872,2,"none","Bank",1,1
"556",556,556,"JP-1546059","Jennifer Patt",1,"female : divorced/separated",4,4,"skilled employee ",29,"own","yes","yes",0,12,90,"life insurance","existing credits paid back duly till now"," New Car",1893,4,"guarantor","none",1,1
"557",557,557,"JP-5520129","Jeremy Pistek",1,"male   : single",4,10,"unskilled ",37,"own","none","yes",10,9,90,"real estate","critical account","radio/television",1154,2,"none","none",3,1
"558",558,558,"JR-1567027","Jim Radford",1,"female : divorced/separated",4,3,"unskilled ",26,"own","none","yes",50,18,90,"real estate","existing credits paid back duly till now","radio/television",1113,4,"guarantor","none",1,2
"559",559,559,"JR-1567048","Jim Radford",1,"male   : single",2,10,"skilled employee ",26,"own","none","yes",10,12,90,"","critical account","radio/television",1934,2,"none","none",2,1
"560",560,560,"JR-1570058","Jocasta Rupert",1,"male   : single",1,1,"skilled employee ",26,"own","none","yes",50,24,90,"life insurance","existing credits paid back duly till now"," New Car",1201,4,"none","none",1,1
"561",561,561,"JR-162107","Justin Ritter",2,"female : divorced/separated",2,2,"skilled employee ",22,"own","none","yes",100,48,50,"real estate","existing credits paid back duly till now","radio/television",5951,2,"none","none",1,1
"562",562,562,"JR-567038","Jim Radford",2,"male   : single",3,3,"management",54,"own","yes","yes",10,24,1500,"life insurance","existing credits paid back duly till now","business",4591,2,"none","none",3,1
"563",563,563,"JS-1559559","Jill Stevenson",1,"male   : single",4,5,"skilled employee ",39,"own","yes","yes",0,20,90,"car or other","existing credits paid back duly till now","furniture/equipment",2212,4,"none","none",1,1
"564",564,564,"JS-156857","Jim Sink",2,"female : divorced/separated",2,2,"unskilled ",32,"own","none","yes",0,24,150,"car or other","existing credits paid back duly till now","radio/television",1282,4,"none","none",1,1
"565",565,565,"JS-1603059","Joy Smith",1,"male   : single",1,3,"skilled employee ",24,"own","none","yes",250,36,80,"car or other","existing credits paid back duly till now","radio/television",5848,4,"none","none",1,1
"566",566,566,"JS-1603097","Joy Smith",1,"male   : single",4,5,"skilled employee ",43,"own","yes","yes",10,24,90,"car or other","critical account","Used Car",2197,4,"none","none",2,2
"567",567,567,"JW-1522058","Jane Waco",2,"male   : single",3,6,"skilled employee ",29,"own","none","yes",50,9,400,"","all credits at this bank paid back duly"," New Car",1437,2,"none","none",1,1
"568",568,568,"JW-1595527","Joni Wasserman",1,"male   : single",3,4,"skilled employee ",31,"own","none","yes",0,12,2500,"life insurance","existing credits paid back duly till now"," New Car",3651,1,"none","none",1,2
"569",569,569,"JW-1595545","Joni Wasserman",1,"male   : single",1,6,"skilled employee ",32,"own","none","yes",50,36,90,"car or other","existing credits paid back duly till now","education",2273,3,"none","none",2,2
"570",570,570,"JW-1607592","Julia West",1,"female : divorced/separated",2,4,"skilled employee ",54,"rent","none","yes",10,36,90,"life insurance","delay in paying off in the past"," New Car",7432,2,"none","none",1,1
"571",571,571,"JW-5220111","Jane Waco",1,"male   : married/widowed",2,3,"unskilled ",25,"own","none","yes",190,18,80,"real estate","existing credits paid back duly till now","radio/television",866,4,"guarantor","none",1,1
"572",572,572,"JW-522087","Jane Waco",1,"female : divorced/separated",4,3,"unskilled ",48,"own","yes","yes",50,24,90,"life insurance","existing credits paid back duly till now","furniture/equipment",4351,1,"none","none",1,1
"573",573,573,"KA-1652539","Kelly Andreada",1,"male   : single",4,10,"skilled employee ",65,"own","none","yes",10,12,90,"real estate","critical account","radio/television",930,4,"none","none",4,1
"574",574,574,"KA-1652548","Kelly Andreada",2,"male   : single",4,10,"skilled employee ",29,"rent","none","yes",0,45,90,"car or other","all credits paid back duly","business",11816,2,"none","none",2,1
"575",575,575,"KB-1624058","Karen Bern",1,"male   : married/widowed",3,1,"unskilled ",26,"own","none","no",10,6,90,"real estate","existing credits paid back duly till now","radio/television",590,3,"none","none",1,1
"576",576,576,"KB-1631545","Karl Braun",1,"male   : single",4,1,"skilled employee ",40,"rent","yes","yes",10,28,90,"real estate","all credits at this bank paid back duly","Used Car",7824,3,"guarantor","Bank",2,2
"577",577,577,"KB-1631578","Karl Braun",2,"male   : divorced/separated",1,1,"unskilled ",34,"own","yes","yes",0,30,80,"","existing credits paid back duly till now","repairs",11998,1,"none","none",1,1
"578",578,578,"KB-1658527","Ken Black",2,"male   : single",3,9,"skilled employee ",33,"rent","none","yes",0,15,80,"car or other","all credits paid back duly"," New Car",950,4,"none","none",2,2
"579",579,579,"KB-1658548","Ken Black",2,"female : divorced/separated",2,1,"unskilled ",23,"own","none","yes",0,18,90,"car or other","existing credits paid back duly till now"," New Car",976,1,"none","none",1,1
"580",580,580,"KB-1660058","Ken Brennan",1,"female : divorced/separated",4,1,"skilled employee ",23,"own","yes","yes",10,15,250,"car or other","existing credits paid back duly till now","Used Car",3812,1,"none","none",1,1
"581",581,581,"KC-1654093","Kelly Collister",1,"male   : single",3,4,"skilled employee ",26,"own","none","yes",190,12,80,"life insurance","critical account","domestic appliances",1424,4,"none","none",1,1
"582",582,582,"KC-1667548","Kimberly Carter",1,"male   : single",2,1,"unskilled ",29,"own","none","yes",150,24,0,"life insurance","delay in paying off in the past","furniture/equipment",2333,4,"none","Bank",1,1
"583",583,583,"KD-1627018","Karen Daniels",1,"male   : single",2,10,"skilled employee ",51,"own","yes","yes",10,36,90,"car or other","critical account","radio/television",3342,4,"none","none",1,1
"584",584,584,"KD-1627059","Karen Daniels",2,"male   : single",4,10,"management",42,"own","yes","yes",50,36,400,"car or other","delay in paying off in the past"," New Car",8086,2,"none","none",4,1
"585",585,585,"KD-1634558","Katherine Ducich",2,"male   : married/widowed",1,1,"skilled employee ",23,"rent","none","yes",50,12,90,"real estate","existing credits paid back duly till now","radio/television",1534,1,"none","none",1,1
"586",586,586,"KD-1649527","Keith Dawkins",1,"male   : single",2,3,"unskilled ",35,"own","none","yes",10,24,80,"real estate","critical account","radio/television",2684,4,"none","none",2,1
"587",587,587,"KD-1649545","Keith Dawkins",2,"female : divorced/separated",3,1,"unskilled ",25,"own","none","yes",500,15,90,"real estate","existing credits paid back duly till now","radio/television",2327,2,"none","none",1,1
"588",588,588,"KD-1661545","Ken Dana",1,"male   : married/widowed",2,4,"skilled employee ",27,"own","yes","yes",10,12,90,"real estate","existing credits paid back duly till now"," New Car",1101,3,"none","none",2,1
"589",589,589,"KE-1642018","Katrina Edelman",1,"male   : single",3,4,"skilled employee ",29,"own","yes","yes",10,18,90,"life insurance","critical account","radio/television",1169,4,"none","none",2,1
"590",590,590,"KE-1642031","Katrina Edelman",1,"male   : single",2,7,"unskilled ",30,"own","none","yes",10,24,90,"life insurance","critical account","furniture/equipment",2028,2,"none","none",2,1
"591",591,591,"KH-1633059","Katharine Harms",1,"male   : divorced/separated",3,4,"management",36,"own","yes","yes",190,12,700,"car or other","critical account"," New Car",2366,3,"none","none",1,1
"592",592,592,"KH-16510102","Keith Herrera",1,"female : divorced/separated",4,10,"skilled employee ",20,"own","yes","yes",50,24,80,"car or other","existing credits paid back duly till now","radio/television",1967,4,"none","none",1,1
"593",593,593,"KM-162257","Kalyca Meade",1,"female : divorced/separated",2,4,"unskilled ",41,"own","none","yes",10,6,2500,"real estate","critical account"," New Car",250,2,"none","Bank",2,1
"594",594,594,"KM-1637548","Katherine Murray",1,"male   : single",4,4,"skilled employee ",45,"for free","none","yes",0,42,50,"life insurance","existing credits paid back duly till now","furniture/equipment",7882,2,"guarantor","none",1,2
"595",595,595,"KM-163757","Katherine Murray",2,"female : divorced/separated",2,4,"skilled employee ",29,"own","yes","yes",0,15,90,"life insurance","existing credits paid back duly till now"," New Car",3959,3,"none","none",1,1
"596",596,596,"KM-1666048","Khloe Miller",2,"male   : single",4,2,"skilled employee ",47,"for free","yes","yes",150,36,150,"","existing credits paid back duly till now","education",12612,1,"none","none",1,2
"597",597,597,"KM-16720102","Kunst Miller",1,"female : divorced/separated",4,1,"skilled employee ",23,"rent","yes","yes",10,9,80,"real estate","existing credits paid back duly till now","domestic appliances",1236,1,"none","none",1,1
"598",598,598,"KM-1672048","Kunst Miller",1,"male   : single",2,4,"unskilled ",28,"own","none","yes",10,21,90,"real estate","delay in paying off in the past","Used Car",2993,3,"none","stores",2,1
"599",599,599,"KM-1672078","Kunst Miller",1,"male   : single",2,3,"management",74,"own","yes","yes",10,24,90,"real estate","critical account","business",4526,3,"none","none",1,1
"600",600,600,"KM-672060","Kunst Miller",2,"female : divorced/separated",3,10,"skilled employee ",59,"rent","none","yes",10,48,90,"","all credits at this bank paid back duly","business",6416,4,"none","none",1,1
"601",601,601,"KN-16390139","Katherine Nockton",1,"female : divorced/separated",4,3,"skilled employee ",42,"rent","yes","yes",50,24,90,"car or other","delay in paying off in the past"," New Car",1965,4,"none","none",2,1
"602",602,602,"KN-1639048","Katherine Nockton",1,"female : divorced/separated",2,7,"skilled employee ",25,"own","none","yes",10,30,90,"car or other","critical account","radio/television",5771,4,"none","none",2,1
"603",603,603,"KN-163907","Katherine Nockton",2,"male   : single",2,0,"management",42,"own","yes","yes",10,12,80,"car or other","critical account","business",2292,4,"none","stores",2,1
"604",604,604,"KN-164507","Kean Nguyen",1,"female : divorced/separated",2,6,"skilled employee ",23,"rent","yes","yes",50,24,400,"life insurance","delay in paying off in the past","radio/television",1553,3,"none","none",2,1
"605",605,605,"KN-1645082","Kean Nguyen",2,"male   : single",2,4,"skilled employee ",36,"own","none","yes",10,18,90,"car or other","all credits paid back duly","business",4165,2,"none","stores",2,2
"606",606,606,"KN-670560","Kristina Nunn",1,"male   : married/widowed",4,3,"skilled employee ",28,"own","none","yes",50,18,90,"real estate","critical account","business",1887,4,"none","Bank",2,1
"607",607,607,"KS-163007","Karen Seio",1,"male   : single",4,9,"skilled employee ",52,"own","none","yes",0,6,700,"car or other","critical account","radio/television",338,4,"none","none",2,1
"608",608,608,"LA-1678027","Laura Armstrong",2,"female : divorced/separated",4,3,"skilled employee ",28,"rent","yes","yes",50,15,300,"car or other","existing credits paid back duly till now"," New Car",2631,2,"none","none",2,1
"609",609,609,"LA-1678059","Laura Armstrong",1,"male   : married/widowed",1,2,"skilled employee ",27,"own","yes","yes",150,9,70,"real estate","existing credits paid back duly till now","business",1391,2,"none","Bank",1,1
"610",610,610,"LB-16795139","Laurel Beltran",1,"male   : single",2,8,"skilled employee ",31,"own","yes","yes",10,24,700,"car or other","existing credits paid back duly till now","radio/television",3430,3,"none","none",1,2
"611",611,611,"LB-1679558","Laurel Beltran",1,"male   : single",4,10,"skilled employee ",42,"own","none","yes",10,12,90,"life insurance","critical account","furniture/equipment",3331,2,"none","stores",1,1
"612",612,612,"LC-168857","Lena Creighton",2,"male   : single",4,1,"skilled employee ",58,"rent","yes","yes",150,54,70,"","all credits paid back duly","business",15945,3,"none","none",1,1
"613",613,613,"LC-1688582","Lena Creighton",2,"male   : single",4,3,"skilled employee ",65,"for free","none","yes",0,18,90,"","existing credits paid back duly till now","radio/television",2600,4,"none","none",2,1
"614",614,614,"LC-1705051","Liz Carlisle",1,"male   : single",4,10,"unskilled ",61,"own","none","yes",10,12,90,"real estate","critical account"," New Car",1255,4,"none","none",2,1
"615",615,615,"LC-1705092","Liz Carlisle",1,"female : divorced/separated",4,5,"unskilled ",26,"rent","none","yes",0,21,80,"car or other","existing credits paid back duly till now","furniture/equipment",3599,1,"none","none",1,1
"616",616,616,"LC-7050110","Liz Carlisle",1,"male   : single",4,2,"skilled employee ",47,"for free","none","yes",10,18,80,"","existing credits paid back duly till now","furniture/equipment",1984,4,"none","Bank",2,1
"617",617,617,"LD-1685545","Lela Donovan",1,"male   : divorced/separated",2,10,"management",46,"own","none","yes",10,48,90,"car or other","critical account","business",7629,4,"none","Bank",2,2
"618",618,618,"LD-6855117","Lela Donovan",1,"male   : single",2,4,"skilled employee ",44,"own","yes","yes",10,24,900,"car or other","delay in paying off in the past","business",2375,4,"none","none",2,2
"619",619,619,"LH-1675036","Larry Hughes",1,"female : divorced/separated",4,4,"skilled employee ",25,"rent","yes","yes",10,24,80,"life insurance","existing credits paid back duly till now","furniture/equipment",3972,2,"none","none",1,1
"620",620,620,"LH-1690018","Lena Hernandez",2,"male   : divorced/separated",3,1,"skilled employee ",32,"own","none","yes",0,24,80,"life insurance","existing credits paid back duly till now","radio/television",1938,4,"none","none",1,1
"621",621,621,"LH-1702027","Lisa Hazard",1,"female : divorced/separated",2,9,"management",41,"rent","yes","yes",10,24,80,"car or other","critical account","Used Car",3868,4,"none","none",2,1
"622",622,622,"LH-17155118","Logan Haushalter",2,"male   : single",1,7,"skilled employee ",24,"own","yes","yes",0,36,90,"car or other","existing credits paid back duly till now"," New Car",9271,2,"none","none",1,1
"623",623,623,"LH-1715545","Logan Haushalter",1,"female : divorced/separated",2,2,"management",29,"own","yes","yes",10,12,70,"real estate","critical account","business",1412,4,"guarantor","none",2,1
"624",624,624,"LL-684033","Lauren Leatherbury",1,"male   : divorced/separated",4,4,"skilled employee ",62,"own","none","yes",10,6,900,"real estate","existing credits paid back duly till now","domestic appliances",1338,1,"none","none",1,1
"625",625,625,"LM-7065105","Liz MacKendrick",1,"male   : married/widowed",2,3,"skilled employee ",28,"own","none","yes",10,24,90,"life insurance","existing credits paid back duly till now","radio/television",1413,4,"none","none",1,1
"626",626,626,"LP-170807","Liz Pelletier",2,"female : divorced/separated",3,1,"skilled employee ",23,"rent","yes","yes",0,18,90,"car or other","existing credits paid back duly till now"," New Car",1216,4,"none","none",1,1
"627",627,627,"LR-1691544","Lena Radford",1,"male   : single",3,10,"skilled employee ",32,"rent","yes","yes",10,24,900,"","existing credits paid back duly till now","furniture/equipment",3062,4,"none","none",1,1
"628",628,628,"LR-1691558","Lena Radford",2,"male   : married/widowed",2,3,"skilled employee ",23,"own","none","yes",0,12,90,"car or other","existing credits paid back duly till now"," New Car",900,4,"none","none",1,1
"629",629,629,"LR-1703548","Lisa Ryan",1,"female : divorced/separated",4,6,"management",67,"own","yes","yes",50,9,90,"life insurance","existing credits paid back duly till now","education",1199,4,"none","none",2,1
"630",630,630,"LS-1694559","Linda Southworth",1,"female : divorced/separated",4,10,"skilled employee ",24,"rent","none","yes",0,12,90,"life insurance","existing credits paid back duly till now","furniture/equipment",652,4,"none","none",1,1
"631",631,631,"LS-1720045","Luke Schmidt",1,"male   : single",2,10,"skilled employee ",35,"own","yes","yes",10,36,80,"life insurance","critical account","Used Car",5842,2,"none","none",2,2
"632",632,632,"LS-1720080","Luke Schmidt",1,"male   : single",3,10,"skilled employee ",38,"own","yes","yes",10,48,90,"car or other","critical account","Used Car",2751,4,"none","none",2,2
"633",633,633,"LS-1724582","Lynn Smith",2,"male   : divorced/separated",1,10,"skilled employee ",46,"rent","none","yes",50,12,80,"real estate","existing credits paid back duly till now"," New Car",1223,1,"none","none",2,1
"634",634,634,"LT-1676558","Larry Tron",1,"female : divorced/separated",2,5,"skilled employee ",27,"own","none","yes",10,9,80,"car or other","existing credits paid back duly till now","business",1449,3,"none","none",2,1
"635",635,635,"LT-1676564","Larry Tron",2,"female : divorced/separated",4,5,"skilled employee ",23,"rent","none","yes",0,30,80,"real estate","existing credits paid back duly till now","furniture/equipment",2406,4,"none","none",1,1
"636",636,636,"LT-7110117","Liz Thompson",1,"female : divorced/separated",3,6,"unskilled ",58,"own","yes","yes",0,12,90,"real estate","critical account","radio/television",385,4,"none","none",4,1
"637",637,637,"LW-1682545","Laurel Workman",1,"male   : single",1,1,"unskilled ",28,"own","none","yes",0,13,90,"life insurance","critical account","business",1797,3,"none","Bank",2,1
"638",638,638,"LW-1682558","Laurel Workman",1,"male   : single",2,3,"skilled employee ",37,"own","none","yes",0,36,80,"life insurance","existing credits paid back duly till now","furniture/equipment",3620,1,"guarantor","none",1,2
"639",639,639,"LW-1699045","Lindsay Williams",2,"male   : single",4,0,"management",47,"own","yes","yes",50,6,90,"life insurance","delay in paying off in the past"," New Car",1209,4,"none","none",1,1
"640",640,640,"LW-172157","Luke Weiss",1,"female : divorced/separated",4,10,"skilled employee ",24,"own","none","yes",0,20,90,"life insurance","critical account","furniture/equipment",4272,1,"none","none",2,1
"641",641,641,"MA-1799548","Michelle Arnett",1,"female : divorced/separated",4,0,"unemployed",65,"own","none","yes",10,18,90,"car or other","critical account","radio/television",1098,4,"none","none",2,1
"642",642,642,"MB-173057","Maria Bertelson",1,"female : divorced/separated",3,1,"skilled employee ",38,"own","yes","yes",10,24,80,"car or other","existing credits paid back duly till now","radio/television",1533,4,"none","stores",1,1
"643",643,643,"MB-1808545","Mick Brown",1,"male   : single",3,5,"skilled employee ",32,"own","none","no",10,18,90,"life insurance","existing credits paid back duly till now"," New Car",2662,4,"none","none",1,1
